Fighters,Average (Raw),Wrestling,BJJ,Judo,Freestyle,Muay Thai,Karate,Kickboxing,Boxing,TKD,Kung Fu,Champ.,Wres. Champ.,BJJ Champ.,Karate Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ,ESPN Champ.,Wres. Champ.,BJJ Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Karate Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ
Guy Mezger,TKD,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Andreas Michailidis,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Michaud,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bojan Mihajlović,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Miletich,Wrestling,4,,,,,,,,,,X,4,,,,,,,,,,,4,,,,,,,,,
Curtis Millender,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Miller,Freestyle,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Miller,Wrestling,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Miller,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Miller,Wrestling,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Che Mills,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Milstead,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Mina,Judo,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrick Minner,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stipe Miocic,Wrestling,3.5,,,,,,,,,,X,3.5,,,,,,,,,,,3.5,,,,,,,,,
Frank Mir,Karate,,,,,,1.45,,,,,X,,,1.45,,,,,,,,,,,,,,,1.45,,,
Mario Miranda,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitor Miranda,Muay Thai,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dokonjonosuke Mishima,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Mitchell,Wrestling,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Mitchell,Freestyle,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Mitchell,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Mitrione,Karate,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiji Mitsuoka,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Moffet,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Mohr,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato Moicano,Judo,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Moisés,BJJ,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashkan Mokhtarian,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Monson,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Montague,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto Montaño,Kung Fu,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
James Moontasri,TKD,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Homer Moore,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Moraes,Muay Thai,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Moraes,BJJ,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheymon Moraes,Judo,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Moraga,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Morales,Freestyle,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Morales,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vince Morales,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Morecraft,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Moreira,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinicius Moreira,BJJ,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Moreno,BJJ,,1.4,,,,,,,,,X,,1.4,,,,,,,,,,,1.4,,,,,,,,
Sammy Morgan,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Morono,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergey Morozov,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gegard Mousasi,Boxing,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Su Mudaerji,Kickboxing,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Belal Muhammad,Freestyle,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinn Mulhern,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Mullarkey,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Munhoz,Judo,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Muniz,BJJ,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Muñoz,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahkmud Muradov,Kickboxing,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Lerone Murphy,Boxing,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Lee Murray,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Musoke,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magomed Mustafaev,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvis Mutapčić,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashkan Mokhtarian,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazuhiro Nakamura ,Judo,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keita Nakamura,Freestyle,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jutaro Nakao,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Nam,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yui Chul Nam,TKD,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Nad Narimani,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Narvaez,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Nascimento,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Nash,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Natal,BJJ,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismail Naurdiev,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tafon Nchukwi,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Neace,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Neal,Freestyle,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislav Nedkov,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Neer,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolae Negumereanu,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Nelmark,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnar Nelson,BJJ,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Nelson,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Nelson,Freestyle,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Nelson,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Braga Neto,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journey Newson,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Newton,BJJ,,0.75,,,,,,,,,X,,0.75,,,,,,,,,,,0.75,,,,,,,,
Francis Ngannou,Boxing,,,,,,,,6,,,X,,,,6,,,,,,,,,,6,,,,,,,
Ben Nguyen,TKD,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,
Alex Nicholson,Muay Thai,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Nicolau,BJJ,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Niinimäki,Kickboxing,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsey Nijem,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mats Nilsson,Judo,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Nilson,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Guangyou Ning,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Njokuani,Muay Thai,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antônio Rodrigo Nogueira,Judo,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antônio Rogério Nogueira,Judo,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Noke,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJ Noons,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Sage Northcutt,Karate,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillipe Nover,Freestyle,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Nunes,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abubakar Nurmagomedov,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khabib Nurmagomedov,Wrestling,13,,,,,,,,,,X,13,,,,,,,,,,,13,,,,,,,,,
Said Nurmagomedov,Freestyle,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy Nzechukwu,Freestyle,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake O'Brien,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean O'Connell,Wrestling,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkan Oezdemir,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Ogle,Freestyle,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yushin Okami,Judo,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexey Oleinik,Wrestling,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michal Oleksiejczuk,Freestyle,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexey Oleynik,Wrestling,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Oliveira,Muay Thai,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Oliveira,BJJ,,2.5,,,,,,,,,X,,2.5,,,,,,,,,,,2.5,,,,,,,,
Rafaello Oliveira,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean O'Malley,Freestyle,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Omielańczuk,Kickboxing,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Michihiro Omigawa,Judo,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck O'Neil,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Ortega,BJJ,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Ortiz,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tito Ortiz ,Wrestling,1.25,,,,,,,,,,X,1.25,,,,,,,,,,,1.25,,,,,,,,,
Ode' Osbourne,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Osipczak,Kung Fu,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,
Zak Ottow,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistair Overeem,Kickboxing,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Alptekin Özkiliç,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pace,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damacio Page,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Pague,Boxing,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Fredson Paixão,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teemu Packalen,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raulian Paiva,Freestyle,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Palaszewski,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha Palatnikov,Kickboxing,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Soa Palelei,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rousimar Palhares,BJJ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Pantoja,Freestyle,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Papazian,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remco Pardoel,BJJ,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karo Parisyan,Judo,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Parisian,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun Yong Park,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norman Parke,Judo,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Patino,Judo,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Patrick,BJJ,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Patrick,Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergei Pavlovich,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawel Pawlak,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estevan Payan,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Pearce,Wrestling,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Pearson,TKD,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,
André Pederneiras,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlo Pedersoli Jr.,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Pedro,Karate,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Pellegrino,Wrestling,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Peña,Wrestling,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathal Pendred,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.J. Penn,BJJ,,0.8,,,,,,,,,X,,0.8,,,,,,,,,,,0.8,,,,,,,,
Godofredo Pepey,BJJ,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Peralta,TKD,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,
Alex Pereira,Kickboxing,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pereira,Karate,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Pérez,Freestyle,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Perez,Wrestling,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Érik Pérez,Boxing,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,
Frankie Perez,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markus Perez,Kung Fu,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,
Anthony Perosh,BJJ,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Perpétuo,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Perry,Boxing,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,
Raphael Pessoa,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor Pešta,Freestyle,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Peterson,Freestyle,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth Petruzelli,Karate,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Pettis,TKD,,,,,,,,,1.38,,X,,,,,,,1.38,,,,,,,,1.38,,,,,,
Sergio Pettis,Freestyle,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forrest Petz,Freestyle,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Pfister,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nam Phan,Karate,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Costas Philippou,Boxing,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Phillips,TKD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
John Phillips,Freestyle,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinc Pichel,Freestyle,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Pickett,Freestyle,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Pickett,BJJ,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oskar Piechota,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Pierce,Wrestling,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Pierson,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo Pilarte,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddy Pimblett,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Pineda,Wrestling,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liu Pingyuan,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maki Pitolo,Freestyle,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Poirier,Boxing,,,,,,,,3.33,,,X,,,,3.33,,,,,,,,,,,,,,,,,
Igor Pokrajac,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Polo Reyes,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Ponzinibbio,Kickboxing,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Porter,Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callan Potter,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruan Potts,Judo,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Powell,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Prachnio,Karate,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagner Prado,Muay Thai,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Prangley,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlo Prater,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Prazeres,BJJ,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niko Price,Kickboxing,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,
Jiří Procházka,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Proctor,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudio Puelles,Muay Thai,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jens Pulver,Wrestling,2,,,,,,,,,,X,2,,,,,,,,,,,2,,,,,,,,,
Mike Pyle,BJJ,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Quarantillo,Freestyle,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Quarry,Freestyle,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinicius Queiroz,Muay Thai,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Alberto Quiñónez,Freestyle,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benji Radach,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Radev,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Rainey,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shavkat Rakhmonov,Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Rakić,Kickboxing,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Hector Ramirez,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davi Ramos,BJJ,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Ramos,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Ramos,BJJ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Randleman,Wrestling,1.33,,,,,,,,,,X,1.33,,,,,,,,,,,1.33,,,,,,,,,
Stevie Ray,Freestyle,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chance Rencountre,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Reiner,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Reinhardt,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Reis,BJJ,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goran Reljić,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominick Reyes,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Rhodes,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Ricci,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Riddell,Muay Thai,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Riddle,Wrestling,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Riggs,Freestyle,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Riley,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Rinaldi,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Ring,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Rio,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dante Rivera,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Rivera,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Rivera,Kickboxing,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmie Rivera,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Rivera,Freestyle,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Rizzo ,Muay Thai,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl Roberson,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Roberts,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Roberts,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Roberts,Boxing,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt Roberts,Freestyle,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Robertson,Wrestling,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Robinson,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Eduardo Rocha,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vagner Rocha,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Rockhold,BJJ,,1.5,,,,,,,,,X,,1.5,,,,,,,,,,1.5,,,,,,,,,
Gregory Rodrigues,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Rodriguez,Boxing,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Ricco Rodriguez,BJJ,,2.5,,,,,,,,,X,,2.5,,,,,,,,,,,2.5,,,,,,,,
Mike Rodriguez,Freestyle,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yair Rodríguez,TKD,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Marcos Rogério de Lima,Freestyle,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Roller,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Romanov,Wrestling,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Romero,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoel Romero,Boxing,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Ronson,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Roop,Freestyle,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Roque,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rosa,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
