Fighters,Average (Raw),Wrestling,BJJ,Judo,Freestyle,Muay Thai,Karate,Kickboxing,Boxing,TKD,Kung Fu,Champ.,Wres. Champ.,BJJ Champ.,Karate Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ,ESPN Champ.,Wres. Champ.,BJJ Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Karate Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ
Rich Clementi,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Clements,TKD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Felipe Colares,Judo,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Coleman,Wrestling,1.4,,,,,,,,,,X,1.4,,,,,,,,,,,1.4,,,,,,,,,
Jake Collier,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Condit,Wrestling,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Cope,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Kit Cope,Muay Thai,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akira Corassani,TKD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daniel Cormier,Wrestling,3.67,,,,,,,,,,X,3.67,,,,,,,,,,,3.67,,,,,,,,,
Wesley Correira,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Costa,Muay Thai,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Costa,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Côté,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Couture,Wrestling,2,,,,,,,,,,X,2,,,,,,,,,,,2,,,,,,,,,
Ryan Couture,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby Covington ,Wrestling,4,,,,,,,,,,X,4,,,,,,,,,,,4,,,,,,,,,
Andrew Craig,BJJ,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Craig,Freestyle,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Cramer,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Crane,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Credeur ,BJJ,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Creighton,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Croom,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Crowder,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
